time,V(n002),V(n003),V(n004)
1.115493262204281e-001,3.958867e+000,1.338945e+000,0.000000e+000
1.115635138085946e-001,3.959412e+000,1.339299e+000,0.000000e+000
1.115989827790106e-001,3.960393e+000,1.340185e+000,0.000000e+000
1.116066505231789e-001,3.960571e+000,1.340376e+000,0.000000e+000
1.116085674592210e-001,3.960634e+000,1.340424e+000,0.000000e+000
1.116099049568115e-001,3.960779e+000,1.340457e+000,0.000000e+000
1.116105626419589e-001,3.961037e+000,1.340474e+000,0.000000e+000
1.116114254176741e-001,3.961663e+000,1.340497e+000,0.000000e+000
1.116120140545255e-001,3.962180e+000,1.340513e+000,0.000000e+000
1.116194385284973e-001,3.968012e+000,1.340710e+000,0.000000e+000
1.116268630024691e-001,3.973115e+000,1.340907e+000,0.000000e+000
1.116342874764408e-001,3.977492e+000,1.341104e+000,0.000000e+000
1.116417119504125e-001,3.981140e+000,1.341301e+000,0.000000e+000
1.116491364243843e-001,3.984061e+000,1.341498e+000,0.000000e+000
1.116565608983561e-001,3.986255e+000,1.341695e+000,0.000000e+000
1.116639853723278e-001,3.987720e+000,1.341891e+000,0.000000e+000
1.117160806468219e-001,3.995394e+000,1.343273e+000,0.000000e+000
1.118202711958102e-001,3.999383e+000,1.346033e+000,0.000000e+000
1.119768004812668e-001,4.000006e+000,1.350175e+000,0.000000e+000
1.122029020150180e-001,3.999955e+000,1.356145e+000,0.000000e+000
1.125935270150180e-001,3.999975e+000,1.366428e+000,0.000000e+000
1.129841520150180e-001,3.999977e+000,1.376676e+000,0.000000e+000
1.133747770150180e-001,3.999981e+000,1.386884e+000,0.000000e+000
1.137654020150180e-001,3.999982e+000,1.397053e+000,0.000000e+000
1.145466520150180e-001,3.999985e+000,1.417271e+000,0.000000e+000
1.153279020150180e-001,3.999987e+000,1.437332e+000,0.000000e+000
1.164997770150180e-001,3.999989e+000,1.467132e+000,0.000000e+000
1.176716520150180e-001,3.999989e+000,1.496586e+000,0.000000e+000
1.186203127293038e-001,3.999990e+000,1.520174e+000,0.000000e+000
1.195689734435895e-001,3.999990e+000,1.543544e+000,0.000000e+000
1.205176341578752e-001,3.999991e+000,1.566698e+000,0.000000e+000
1.214662948721610e-001,3.999991e+000,1.589634e+000,0.000000e+000
1.224149555864467e-001,3.999991e+000,1.612353e+000,0.000000e+000
1.233636163007324e-001,3.999991e+000,1.634855e+000,0.000000e+000
1.243122770150181e-001,3.999991e+000,1.657140e+000,0.000000e+000
1.266560270150182e-001,3.999992e+000,1.711244e+000,0.000000e+000
1.289997770150182e-001,3.999992e+000,1.764165e+000,0.000000e+000
1.313435270150182e-001,3.999992e+000,1.815905e+000,0.000000e+000
1.336872770150183e-001,3.999992e+000,1.866462e+000,0.000000e+000
1.360310270150183e-001,3.999992e+000,1.915838e+000,0.000000e+000
1.383747770150183e-001,3.999992e+000,1.964031e+000,0.000000e+000
1.407185270150184e-001,3.999992e+000,2.011043e+000,0.000000e+000
1.507631698721614e-001,3.999992e+000,2.197073e+000,0.000000e+000
1.608078127293044e-001,3.999992e+000,2.368860e+000,0.000000e+000
1.708524555864474e-001,3.999992e+000,2.526405e+000,0.000000e+000
1.808970984435904e-001,3.999992e+000,2.669708e+000,0.000000e+000
1.909417413007334e-001,3.999992e+000,2.798768e+000,0.000000e+000
2.009863841578764e-001,3.999992e+000,2.913586e+000,0.000000e+000
2.110310270150194e-001,3.999992e+000,3.014161e+000,0.000000e+000
2.195980231557309e-001,3.999992e+000,3.093771e+000,0.000000e+000
2.281650192964424e-001,3.999992e+000,3.167990e+000,0.000000e+000
2.367320154371539e-001,3.999992e+000,3.236818e+000,0.000000e+000
2.452990115778655e-001,3.999992e+000,3.300256e+000,0.000000e+000
2.538660077185770e-001,3.999992e+000,3.358304e+000,0.000000e+000
2.624330038592885e-001,3.999992e+000,3.410961e+000,0.000000e+000
2.710000000000000e-001,3.999992e+000,3.458228e+000,0.000000e+000
2.710008636719021e-001,3.999992e+000,3.458233e+000,3.454688e-003
2.710025910157063e-001,3.999992e+000,3.458244e+000,1.036406e-002
2.710336832041817e-001,3.999992e+000,3.458437e+000,1.347328e-001
2.710647753926571e-001,3.999992e+000,3.458629e+000,2.591016e-001
2.710958675811325e-001,3.999992e+000,3.458822e+000,3.834703e-001
2.711269597696079e-001,3.999992e+000,3.459015e+000,5.078391e-001
2.711580519580832e-001,3.999992e+000,3.459208e+000,6.322078e-001
2.711891441465587e-001,3.999992e+000,3.459401e+000,7.565766e-001
2.712202363350340e-001,3.999992e+000,3.459594e+000,8.809453e-001
2.712757256822106e-001,3.999992e+000,3.443219e+000,1.102903e+000
2.713867043765638e-001,3.999992e+000,3.235720e+000,1.546818e+000
2.714281009786156e-001,3.999991e+000,2.856437e+000,1.712404e+000
2.714496141462400e-001,3.999989e+000,2.350091e+000,1.798457e+000
2.714592044135828e-001,3.999986e+000,1.972564e+000,1.836818e+000
2.714641314577488e-001,3.999975e+000,1.720478e+000,1.856526e+000
2.714666450600474e-001,3.999953e+000,1.574870e+000,1.866580e+000
2.714679430655539e-001,3.999919e+000,1.494747e+000,1.871772e+000
2.714687426175694e-001,3.999875e+000,1.443629e+000,1.874970e+000
2.714694584635108e-001,3.999802e+000,1.396801e+000,1.877834e+000
2.714701434984866e-001,3.999682e+000,1.351167e+000,1.880574e+000
2.714707406367859e-001,3.999505e+000,1.310752e+000,1.882963e+000
2.714712043063214e-001,3.999274e+000,1.278948e+000,1.884817e+000
2.714715367815164e-001,3.998982e+000,1.255890e+000,1.886147e+000
2.714718751574605e-001,3.998491e+000,1.232201e+000,1.887501e+000
2.714722254653062e-001,3.997756e+000,1.207438e+000,1.888902e+000
2.714727221444982e-001,3.996448e+000,1.171944e+000,1.890889e+000
2.714732642450288e-001,3.994806e+000,1.132659e+000,1.893057e+000
2.714740971998878e-001,3.992031e+000,1.071159e+000,1.896389e+000
2.714752170662986e-001,3.988054e+000,9.861923e-001,1.900868e+000
2.714771233367394e-001,3.980968e+000,8.353036e-001,1.908493e+000
2.714801893505626e-001,3.969382e+000,5.798373e-001,1.920757e+000
2.714826979083544e-001,3.960108e+000,3.601574e-001,1.930792e+000
2.714839150173457e-001,3.956259e+000,2.513692e-001,1.935660e+000
2.714849633001428e-001,3.954479e+000,1.631951e-001,1.939853e+000
2.714857026281357e-001,3.955293e+000,1.125201e-001,1.942811e+000
2.714866873372006e-001,3.959612e+000,6.481379e-002,1.946749e+000
2.714877001590579e-001,3.966641e+000,3.252657e-002,1.950801e+000
2.714882604353485e-001,3.971516e+000,2.140193e-002,1.953042e+000
2.714887647252913e-001,3.976411e+000,1.511148e-002,1.955059e+000
2.714893925746036e-001,3.982807e+000,9.756831e-003,1.957570e+000
2.714899637007169e-001,3.988790e+000,6.459158e-003,1.959855e+000
2.714905484987524e-001,3.995009e+000,4.230171e-003,1.962194e+000
2.714910791358136e-001,4.000683e+000,2.877818e-003,1.964316e+000
2.714916326457461e-001,4.006598e+000,1.934336e-003,1.966531e+000
2.714921601661471e-001,4.012210e+000,1.327567e-003,1.968641e+000
2.714927066235474e-001,4.017983e+000,9.058621e-004,1.970827e+000
2.714932352810373e-001,4.023520e+000,6.315743e-004,1.972941e+000
2.714937800818118e-001,4.029169e+000,4.427217e-004,1.975120e+000
2.714943170930979e-001,4.034678e+000,3.184910e-004,1.977268e+000
2.714948733115429e-001,4.040318e+000,2.333816e-004,1.979493e+000
2.714954338643794e-001,4.045933e+000,1.770536e-004,1.981735e+000
2.714960235640873e-001,4.051765e+000,1.387294e-004,1.984094e+000
2.714966366202956e-001,4.057745e+000,1.133923e-004,1.986547e+000
2.714973012768298e-001,4.064133e+000,9.638380e-005,1.989205e+000
2.714980229183976e-001,4.070956e+000,8.530091e-005,1.992092e+000
2.714988414574733e-001,4.078556e+000,7.805852e-005,1.995366e+000
2.714997816992243e-001,4.087102e+000,7.344672e-005,1.999127e+000
2.715009156490036e-001,4.097153e+000,7.042974e-005,2.003663e+000
2.715023205017418e-001,4.109218e+000,6.830639e-005,2.009282e+000
2.715041787589888e-001,4.124526e+000,6.645337e-005,2.016715e+000
2.715067908465212e-001,4.144792e+000,6.436756e-005,2.027163e+000
2.715109454079761e-001,4.173985e+000,6.143785e-005,2.043782e+000
2.715188240295451e-001,4.219850e+000,5.664928e-005,2.075296e+000
2.715345812726832e-001,4.280014e+000,4.860678e-005,2.138325e+000
2.715439353795311e-001,4.215135e+000,4.409065e-005,2.175741e+000
2.715516816095168e-001,3.903008e+000,3.995671e-005,2.206727e+000
2.715601905430679e-001,3.233113e+000,3.589456e-005,2.240762e+000
2.715672560216059e-001,2.597860e+000,3.395611e-005,2.269024e+000
2.715742707493953e-001,2.054140e+000,3.275827e-005,2.297083e+000
2.715815552363396e-001,1.613518e+000,3.155898e-005,2.326221e+000
2.715936371901190e-001,1.038625e+000,2.981342e-005,2.374549e+000
2.716058505454225e-001,5.540791e-001,2.824337e-005,2.423402e+000
2.716174633208124e-001,1.397669e-001,2.690001e-005,2.469853e+000
2.716188350905093e-001,9.374657e-002,2.677573e-005,2.475340e+000
2.716215786299031e-001,6.053162e-003,2.663353e-005,2.486315e+000
2.716216259662167e-001,4.899574e-003,2.666424e-005,2.486504e+000
2.716217206388440e-001,3.593053e-003,2.681952e-005,2.486882e+000
2.716217962102665e-001,3.049359e-003,2.698588e-005,2.487185e+000
2.716218390239797e-001,2.929209e-003,2.709003e-005,2.487356e+000
2.716219123803334e-001,2.832055e-003,2.726096e-005,2.487649e+000
2.716219885182347e-001,2.768748e-003,2.741917e-005,2.487954e+000
2.716221299276327e-001,2.685366e-003,2.766519e-005,2.488520e+000
2.716222893811234e-001,2.604112e-003,2.787516e-005,2.489157e+000
2.716226082881050e-001,2.459351e-003,2.813368e-005,2.490433e+000
2.716232313245922e-001,2.217405e-003,2.834692e-005,2.492925e+000
2.716244360447049e-001,1.838257e-003,2.838284e-005,2.497744e+000
2.716257474734780e-001,1.519258e-003,2.825606e-005,2.502990e+000
2.716275692590026e-001,1.189458e-003,2.802727e-005,2.510277e+000
2.716295144643014e-001,9.299529e-004,2.778581e-005,2.518058e+000
2.716318675629086e-001,7.045711e-004,2.749891e-005,2.527470e+000
2.716343848237781e-001,5.334718e-004,2.719873e-005,2.537539e+000
2.716372095184572e-001,3.999692e-004,2.687034e-005,2.548838e+000
2.716401513261363e-001,3.041884e-004,2.653772e-005,2.560605e+000
2.716433505250820e-001,2.331448e-004,2.618664e-005,2.573402e+000
2.716503516360521e-001,1.450241e-004,2.545530e-005,2.601407e+000
2.716655893796898e-001,7.520690e-005,2.402225e-005,2.662358e+000
