second,Volt,Volt
-6.73750E-09,+231.55795829371E-03,-94.35184812171E-03
-6.65938E-09,+231.55795829371E-03,-100.58300383388E-03
-6.58125E-09,+231.55795829371E-03,-101.78903397173E-03
-6.50313E-09,+231.55795829371E-03,-101.78903397173E-03
-6.42500E-09,+235.37705373018E-03,-101.78903397173E-03
-6.34688E-09,+236.58308386803E-03,-101.78903397173E-03
-6.26875E-09,+236.58308386803E-03,-97.96993853526E-03
-6.19063E-09,+240.40217930450E-03,-96.76390839741E-03
-6.11250E-09,+241.60820944235E-03,-96.76390839741E-03
-6.03438E-09,+241.60820944235E-03,-92.94481296094E-03
-5.95625E-09,+237.78911400588E-03,-91.73878282309E-03
-5.87813E-09,+228.94489299508E-03,-91.73878282309E-03
-5.80000E-09,+222.71373728291E-03,-91.73878282309E-03
-5.72188E-09,+210.05042083565E-03,-91.73878282309E-03
-5.64375E-09,+194.97504411269E-03,-95.55787825956E-03
-5.56563E-09,+179.89966738973E-03,-96.76390839741E-03
-5.48750E-09,+164.82429066677E-03,-96.76390839741E-03
-5.40938E-09,+153.56800938028E-03,-96.76390839741E-03
-5.33125E-09,+143.51775823164E-03,-96.76390839741E-03
-5.25313E-09,+141.10569795594E-03,-96.76390839741E-03
-5.17500E-09,+141.10569795594E-03,-96.76390839741E-03
-5.09688E-09,+144.92479339241E-03,-96.76390839741E-03
-5.01875E-09,+153.76901440320E-03,-96.76390839741E-03
-4.94063E-09,+163.81926555184E-03,-96.76390839741E-03
-4.86250E-09,+177.68861213695E-03,-92.94481296094E-03
-4.78438E-09,+192.76398885991E-03,-91.73878282309E-03
-4.70625E-09,+207.83936558288E-03,-91.73878282309E-03
-4.62813E-09,+222.91474230584E-03,-91.73878282309E-03
-4.55000E-09,+230.35192815586E-03,-91.73878282309E-03
-4.47188E-09,+235.37705373018E-03,-91.73878282309E-03
-4.39375E-09,+240.40217930450E-03,-91.73878282309E-03
-4.31563E-09,+241.60820944235E-03,-91.73878282309E-03
-4.23750E-09,+241.60820944235E-03,-95.55787825956E-03
-4.15938E-09,+241.60820944235E-03,-96.76390839741E-03
-4.08125E-09,+237.78911400588E-03,-96.76390839741E-03
-4.00313E-09,+232.76398843156E-03,-96.76390839741E-03
