second,Volt,Volt
-13.92500E-09,+3.78814083477481E+00,+3.76012047240509E+00
-13.84688E-09,+3.78552776947618E+00,+3.77017072355373E+00
-13.76875E-09,+3.77668354846539E+00,+3.77258278382942E+00
-13.69063E-09,+3.77045239275322E+00,+3.77258278382942E+00
-13.61250E-09,+3.76160817174243E+00,+3.77258278382942E+00
-13.53438E-09,+3.75155792059379E+00,+3.76876368839295E+00
-13.45625E-09,+3.73768857400867E+00,+3.76755765825510E+00
-13.37813E-09,+3.72643229272218E+00,+3.76373856281863E+00
-13.30000E-09,+3.72020113701002E+00,+3.76253253268078E+00
-13.22188E-09,+3.70753782056275E+00,+3.76253253268078E+00
-13.14375E-09,+3.70010063471273E+00,+3.76253253268078E+00
-13.06563E-09,+3.69125641370194E+00,+3.76253253268078E+00
-12.98750E-09,+3.68120616255330E+00,+3.76253253268078E+00
-12.90938E-09,+3.67879410227761E+00,+3.76253253268078E+00
-12.83125E-09,+3.67879410227761E+00,+3.76253253268078E+00
-12.75313E-09,+3.67879410227761E+00,+3.76253253268078E+00
-12.67500E-09,+3.67879410227761E+00,+3.76635162811725E+00
-12.59688E-09,+3.67879410227761E+00,+3.76755765825510E+00
-12.51875E-09,+3.68643229315055E+00,+3.76755765825510E+00
-12.44063E-09,+3.69266344886272E+00,+3.76755765825510E+00
-12.36250E-09,+3.70150766987352E+00,+3.76755765825510E+00
-12.28438E-09,+3.71537701645863E+00,+3.76373856281863E+00
-12.20625E-09,+3.72663329774512E+00,+3.76253253268078E+00
-12.12813E-09,+3.73668354889376E+00,+3.76253253268078E+00
-12.05000E-09,+3.74673380004240E+00,+3.76253253268078E+00
-11.97188E-09,+3.75678405119104E+00,+3.76253253268078E+00
-11.89375E-09,+3.76301520690321E+00,+3.76253253268078E+00
-11.81563E-09,+3.76804033247753E+00,+3.76253253268078E+00
-11.73750E-09,+3.77306545805185E+00,+3.76253253268078E+00
-11.65938E-09,+3.77809058362617E+00,+3.76253253268078E+00
-11.58125E-09,+3.77547751832754E+00,+3.76635162811725E+00
-11.50313E-09,+3.77427148818970E+00,+3.76755765825510E+00
-11.42500E-09,+3.77427148818970E+00,+3.76755765825510E+00
-11.34688E-09,+3.77045239275322E+00,+3.76755765825510E+00
-11.26875E-09,+3.76924636261538E+00,+3.76755765825510E+00
-11.19063E-09,+3.76924636261538E+00,+3.76755765825510E+00
-11.11250E-09,+3.76924636261538E+00,+3.76755765825510E+00
-11.03438E-09,+3.76924636261538E+00,+3.76373856281863E+00
-10.95625E-09,+3.76924636261538E+00,+3.76253253268078E+00
-10.87813E-09,+3.76924636261538E+00,+3.76253253268078E+00
-10.80000E-09,+3.76924636261538E+00,+3.76253253268078E+00
-10.72188E-09,+3.76924636261538E+00,+3.76253253268078E+00
