second,Volt
-47.309600E-06,+4.711055293679E+00
-47.308000E-06,+4.711055293679E+00
-47.306400E-06,+4.711055293679E+00
-47.304800E-06,+4.711055293679E+00
-47.303200E-06,+4.711055293679E+00
-47.301600E-06,+4.711055293679E+00
-47.300000E-06,+4.711055293679E+00
-47.298400E-06,+4.711055293679E+00
-47.296800E-06,+4.711055293679E+00
-47.295200E-06,+4.711055293679E+00
-47.293600E-06,+4.711055293679E+00
-47.292000E-06,+4.711055293679E+00
-47.290400E-06,+4.711055293679E+00
-47.288800E-06,+4.711055293679E+00
-47.287200E-06,+4.711055293679E+00
-47.285600E-06,+4.711055293679E+00
-47.284000E-06,+4.711055293679E+00
-47.282400E-06,+4.711055293679E+00
-47.280800E-06,+4.711055293679E+00
-47.279200E-06,+4.711055293679E+00
-47.277600E-06,+4.711055293679E+00
-47.276000E-06,+4.711055293679E+00
-47.274400E-06,+4.711055293679E+00
-47.272800E-06,+4.711055293679E+00
-47.271200E-06,+4.711055293679E+00
-47.269600E-06,+4.711055293679E+00
-47.268000E-06,+4.711055293679E+00
-47.266400E-06,+4.711055293679E+00
-47.264800E-06,+4.711055293679E+00
-47.263200E-06,+4.711055293679E+00
-47.261600E-06,+4.711055293679E+00
-47.260000E-06,+4.711055293679E+00
-47.258400E-06,+4.711055293679E+00
-47.256800E-06,+4.711055293679E+00
-47.255200E-06,+4.711055293679E+00
-47.253600E-06,+4.711055293679E+00
-47.252000E-06,+4.711055293679E+00
-47.250400E-06,+4.711055293679E+00
-47.248800E-06,+4.711055293679E+00
-47.247200E-06,+4.711055293679E+00
-47.245600E-06,+4.711055293679E+00
-47.244000E-06,+4.711055293679E+00
-47.242400E-06,+4.711055293679E+00
-47.240800E-06,+4.711055293679E+00
-47.239200E-06,+4.711055293679E+00
-47.237600E-06,+4.711055293679E+00
-47.236000E-06,+4.711055293679E+00
-47.234400E-06,+4.711055293679E+00
-47.232800E-06,+4.711055293679E+00
-47.231200E-06,+4.711055293679E+00
-47.229600E-06,+4.711055293679E+00
-47.228000E-06,+4.711055293679E+00
-47.226400E-06,+4.711055293679E+00
-47.224800E-06,+4.711055293679E+00
-47.223200E-06,+4.711055293679E+00
-47.221600E-06,+4.711055293679E+00
-47.220000E-06,+4.711055293679E+00
-47.218400E-06,+4.711055293679E+00
-47.216800E-06,+4.711055293679E+00
